Training Size,Training Score,Validation Score,Training Std,Validation Std
360,0.9928181481699164,0.944384903529806,0.0002544488365105568,0.0015818458712898494
721,0.9924246759090559,0.9455799037072186,0.0003102737651661691,0.0010807145628649421
1081,0.9923616134689025,0.9469431114373336,0.000253783910231682,0.0017175404513590314
1442,0.9925320452273366,0.9476786864701958,0.00018793660039071258,0.0021373689452585136
1802,0.9927926343552841,0.9484097768464907,0.00015603563127421008,0.0013992290519966224
2163,0.9928208090659203,0.9487994288191406,0.00011212592962506072,0.0015632322163088342
2523,0.9928329578474948,0.9487972442473879,0.00014243540399828768,0.0019745653088665085
2884,0.9927700188569786,0.9491608069628571,6.703807679744037e-05,0.0016376141419653905
3244,0.992791105527656,0.9492425120002833,0.0001082610592128096,0.0018677365751426486
3605,0.9928326304877588,0.949580988296822,9.1552672921848e-05,0.0019175975360758296
