timestamp,filter_name,location,filter_class,filter_age_days,load_factor,pressure_drop_pa,efficiency,inlet_pm25,outlet_pm25,inlet_pm10,outlet_pm10,replacement_needed,hour
2022-08-28 03:00:00,Electrostatic_Filter_Mall,Shopping Mall,Electrostatic,23.54,0.4087839766894945,60.7,0.87,47.7,6.2,88.3,11.4,0,3
2023-06-08 17:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,5.46,0.3092430887121045,95.0,0.981,71.3,1.4,75.8,2.0,0,17
2022-09-14 05:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,23.5,0.3123940317086381,114.9,0.962,67.4,2.6,98.9,3.8,0,5
2021-01-16 09:00:00,Electrostatic_Filter_Mall,Shopping Mall,Electrostatic,4.04,0.4208902272207696,25.1,0.893,69.2,7.4,57.8,6.2,0,9
2021-06-01 14:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,1.88,0.2,83.7,0.992,45.3,1.0,66.4,2.0,0,14
2022-04-23 19:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,0.33,0.2389882187053994,10.0,0.882,51.9,6.1,73.3,8.6,0,19
2022-08-11 00:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,8.75,0.3307013068777743,34.5,0.864,69.8,9.5,99.5,13.5,0,0
2022-03-30 12:00:00,AHU_Filter_Office,Office HVAC,HEPA,21.75,0.3244567311664181,133.1,0.96,67.0,2.7,102.3,4.1,0,12
2021-08-30 16:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,0.38,0.2988559056367396,28.3,0.876,54.8,6.8,90.7,11.3,0,16
2021-04-13 09:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,27.21,0.3727501453683429,147.6,0.952,51.8,2.5,108.7,5.2,0,9
2023-03-16 08:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,25.67,0.3013884201897083,125.0,0.956,75.9,3.4,71.8,3.2,0,8
2022-12-23 11:00:00,Electrostatic_Filter_Mall,Shopping Mall,Electrostatic,13.12,0.491317343262856,41.3,0.884,74.8,8.7,84.8,9.8,0,11
2023-04-06 14:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,29.71,0.3498359767678532,135.5,0.956,72.1,3.2,113.2,5.0,0,14
2022-07-25 10:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,13.5,0.3278598093318955,95.1,0.978,49.1,1.1,71.4,2.0,0,10
2021-07-30 19:00:00,Carbon_Filter_Lab,Research Laboratory,Activated Carbon,46.21,0.484671126858849,116.7,0.874,68.5,8.6,91.1,11.5,0,19
2022-01-11 16:00:00,Electrostatic_Filter_Mall,Shopping Mall,Electrostatic,9.92,0.3052978579142686,27.1,0.882,64.6,7.6,98.0,11.5,0,16
2022-04-27 22:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,1.21,0.2,16.3,0.877,67.4,8.3,50.9,6.3,0,22
2021-01-11 07:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,2.08,0.2615327297027051,22.6,0.873,37.1,4.7,65.3,8.3,0,7
2021-11-15 22:00:00,AHU_Filter_Office,Office HVAC,HEPA,30.58,0.397069747601324,134.8,0.95,56.4,2.8,71.2,3.5,0,22
2023-01-18 12:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,10.29,0.3622181590372915,28.9,0.862,55.8,7.7,69.1,9.6,0,12
2022-04-06 01:00:00,AHU_Filter_Office,Office HVAC,HEPA,22.79,0.5424463334135169,117.7,0.961,68.5,2.7,86.2,3.4,0,1
2021-08-24 07:00:00,AHU_Filter_Office,Office HVAC,HEPA,13.75,0.4063008257832408,105.5,0.969,76.1,2.3,100.1,3.1,0,7
2021-11-01 08:00:00,Electrostatic_Filter_Mall,Shopping Mall,Electrostatic,29.96,0.5147799397907159,64.1,0.864,49.3,6.7,113.8,15.5,0,8
2023-06-05 21:00:00,Carbon_Filter_Lab,Research Laboratory,Activated Carbon,41.46,0.6724432496175871,110.6,0.885,58.9,6.8,86.5,9.9,0,21
2021-11-19 10:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,1.21,0.3205936131938536,12.3,0.881,41.5,4.9,57.9,6.9,0,10
2022-10-13 19:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,30.04,0.5489084721948988,153.0,0.951,69.9,3.4,80.5,3.9,0,19
2021-08-26 13:00:00,AHU_Filter_Office,Office HVAC,HEPA,14.37,0.2792208221265361,112.4,0.976,67.5,1.6,81.2,2.0,0,13
2021-06-25 03:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,3.5,0.2324060583050585,17.7,0.875,63.8,8.0,58.6,7.3,0,3
2023-05-01 01:00:00,Carbon_Filter_Lab,Research Laboratory,Activated Carbon,34.88,0.6186226728589891,103.7,0.888,61.0,6.8,78.3,8.7,0,1
2021-10-05 01:00:00,AHU_Filter_Office,Office HVAC,HEPA,21.67,0.3332515323611515,111.5,0.959,58.2,2.4,65.6,2.7,0,1
2021-05-27 07:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,0.5,0.2,78.4,0.986,58.0,1.0,88.5,2.0,0,7
2022-05-09 18:00:00,Electrostatic_Filter_Mall,Shopping Mall,Electrostatic,0.71,0.2,19.4,0.898,68.2,6.9,74.9,7.6,0,18
2021-04-25 16:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,7.54,0.3337481813706825,21.0,0.868,52.3,6.9,56.8,7.5,0,16
2022-06-29 22:00:00,Pre_Filter_Manufacturing,Manufacturing Unit,Pre-Filter,14.87,0.3488773679664153,59.9,0.851,71.8,10.7,102.2,15.2,0,22
2021-01-31 15:00:00,HEPA_Filter_Hospital,Hospital Ventilation,HEPA,13.12,0.4925264650841947,105.5,0.972,55.5,1.5,64.3,2.0,0,15
2021-02-19 06:00:00,Carbon_Filter_Lab,Research Laboratory,Activated Carbon,14.33,0.2695125021299938,74.9,0.917,50.3,4.2,68.9,5.7,0,6
